000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "D:\ComputerNetworking\Lab1-Windows-VS2017\Debug\datalink-B.log", TCP port 59144, debug mask 0x00
000.000 Station B is connecting station A (TCP port 59144) ... Done.
000.371 New epoch: Fri Apr 12 09:44:18 2024
000.371 =================================================================
000.371 
000.371 Selective Repeat, Designed by ORANGEC, build: Apr  9 2024  15:06:23
002.754 .... 8 packets received, 7832 bps, 97.90%, Err 0 (0.0e+00)
004.867 .... 16 packets received, 7793 bps, 97.41%, Err 0 (0.0e+00)
007.006 .... 24 packets received, 7748 bps, 96.85%, Err 0 (0.0e+00)
009.121 .... 32 packets received, 7747 bps, 96.84%, Err 0 (0.0e+00)
011.229 .... 40 packets received, 7752 bps, 96.91%, Err 0 (0.0e+00)
013.362 .... 48 packets received, 7740 bps, 96.76%, Err 0 (0.0e+00)
015.463 .... 56 packets received, 7749 bps, 96.86%, Err 0 (0.0e+00)
017.541 .... 64 packets received, 7765 bps, 97.07%, Err 0 (0.0e+00)
019.672 .... 72 packets received, 7757 bps, 96.96%, Err 0 (0.0e+00)
021.771 .... 80 packets received, 7762 bps, 97.02%, Err 0 (0.0e+00)
023.901 .... 88 packets received, 7755 bps, 96.94%, Err 2 (1.1e-05)
027.847 .... 89 packets received, 6705 bps, 83.81%, Err 2 (9.1e-06)
029.988 .... 105 packets received, 7333 bps, 91.66%, Err 2 (8.5e-06)
035.352 .... 111 packets received, 6553 bps, 81.91%, Err 3 (1.1e-05)
037.432 .... 126 packets received, 7018 bps, 87.72%, Err 3 (1.0e-05)
041.985 .... 129 packets received, 6393 bps, 79.92%, Err 4 (1.2e-05)
044.061 .... 145 packets received, 6843 bps, 85.53%, Err 4 (1.1e-05)
046.142 .... 153 packets received, 6890 bps, 86.12%, Err 4 (1.1e-05)
050.906 .... 157 packets received, 6399 bps, 79.99%, Err 6 (1.5e-05)
053.079 .... 172 packets received, 6720 bps, 84.00%, Err 6 (1.4e-05)
055.243 .... 180 packets received, 6754 bps, 84.42%, Err 6 (1.4e-05)
057.355 .... 188 packets received, 6791 bps, 84.89%, Err 6 (1.3e-05)
062.177 .... 192 packets received, 6392 bps, 79.90%, Err 8 (1.6e-05)
064.291 .... 207 packets received, 6663 bps, 83.28%, Err 8 (1.6e-05)
066.401 .... 215 packets received, 6698 bps, 83.73%, Err 8 (1.5e-05)
068.508 .... 223 packets received, 6731 bps, 84.14%, Err 8 (1.5e-05)
070.646 .... 231 packets received, 6760 bps, 84.50%, Err 8 (1.4e-05)
072.775 .... 239 packets received, 6788 bps, 84.84%, Err 8 (1.4e-05)
074.947 .... 247 packets received, 6810 bps, 85.12%, Err 8 (1.3e-05)
077.075 .... 255 packets received, 6834 bps, 85.43%, Err 8 (1.3e-05)
079.174 .... 263 packets received, 6860 bps, 85.76%, Err 8 (1.3e-05)
081.309 .... 271 packets received, 6882 bps, 86.02%, Err 9 (1.4e-05)
085.268 .... 272 packets received, 6584 bps, 82.30%, Err 9 (1.3e-05)
087.356 .... 289 packets received, 6827 bps, 85.34%, Err 9 (1.3e-05)
089.501 .... 297 packets received, 6847 bps, 85.58%, Err 9 (1.3e-05)
093.708 .... 299 packets received, 6581 bps, 82.26%, Err 12 (1.6e-05)
096.606 .... 313 packets received, 6681 bps, 83.52%, Err 12 (1.6e-05)
102.447 .... 321 packets received, 6459 bps, 80.73%, Err 13 (1.6e-05)
104.524 .... 338 packets received, 6665 bps, 83.31%, Err 13 (1.6e-05)
106.689 .... 346 packets received, 6683 bps, 83.54%, Err 13 (1.5e-05)
108.755 .... 354 packets received, 6707 bps, 83.84%, Err 13 (1.5e-05)
110.903 .... 362 packets received, 6725 bps, 84.06%, Err 13 (1.5e-05)
112.979 .... 370 packets received, 6747 bps, 84.33%, Err 13 (1.4e-05)
115.127 .... 378 packets received, 6763 bps, 84.54%, Err 13 (1.4e-05)
117.254 .... 386 packets received, 6780 bps, 84.75%, Err 13 (1.4e-05)
119.332 .... 394 packets received, 6800 bps, 85.00%, Err 13 (1.4e-05)
121.447 .... 402 packets received, 6816 bps, 85.20%, Err 13 (1.3e-05)
123.589 .... 410 packets received, 6831 bps, 85.38%, Err 13 (1.3e-05)
125.674 .... 418 packets received, 6848 bps, 85.60%, Err 13 (1.3e-05)
